x,y,label
16.456753,-15.889043,Porifera
16.34573,-15.4373255,Porifera
16.361095,-15.360341,Porifera
15.842773,-15.558634,Porifera
16.319063,-15.458371,Porifera
14.777637,-13.5114,Porifera
16.35321,-15.438675,Porifera
16.353209,-15.994717,Porifera
14.957535,23.25167,Echinodermata
14.69224,23.197643,Echinodermata
14.835512,23.28755,Echinodermata
13.433807,21.531496,Echinodermata
14.819963,23.24361,Echinodermata
14.849536,23.235157,Echinodermata
14.825381,23.201904,Echinodermata
14.690029,23.379862,Echinodermata
14.188892,22.372177,Echinodermata
14.665724,24.02956,Echinodermata
14.612235,24.019884,Echinodermata
14.644587,24.00732,Echinodermata
14.835037,24.00929,Echinodermata
14.912339,23.958864,Echinodermata
14.25388,20.45535,Echinodermata
14.254323,20.471338,Echinodermata
13.710867,20.848501,Echinodermata
13.057967,18.561346,Echinodermata
13.023741,18.476393,Echinodermata
13.054286,18.472961,Echinodermata
14.21477,20.522417,Echinodermata
14.299004,20.513014,Echinodermata
13.435181,19.189777,Echinodermata
13.06365,18.46682,Echinodermata
13.493876,19.334429,Echinodermata
13.038534,18.562319,Echinodermata
13.05029,18.557268,Echinodermata
13.2407,18.943445,Echinodermata
13.305508,19.009834,Echinodermata
13.410461,19.160913,Echinodermata
14.592557,20.777206,Echinodermata
14.522547,20.651009,Echinodermata
13.228854,18.847708,Echinodermata
14.512867,20.582634,Echinodermata
13.177237,18.818125,Echinodermata
13.211214,18.82426,Echinodermata
14.481604,20.643433,Echinodermata
13.38458,19.122696,Echinodermata
13.149857,18.383272,Echinodermata
13.30091,18.997234,Echinodermata
13.333047,19.06195,Echinodermata
13.118285,18.461641,Echinodermata
13.126226,18.460468,Echinodermata
13.184403,18.810122,Echinodermata
14.551807,20.733604,Echinodermata
13.026476,18.546207,Echinodermata
13.465451,19.227598,Echinodermata
13.099609,18.772335,Echinodermata
13.309856,19.011164,Echinodermata
13.186521,18.681934,Echinodermata
14.223066,20.541054,Echinodermata
13.140587,18.721752,Echinodermata
13.471892,19.24048,Echinodermata
13.3674755,19.10169,Echinodermata
14.04183,22.205303,Echinodermata
14.337539,22.492334,Echinodermata
13.394948,21.400251,Echinodermata
13.641783,21.074202,Echinodermata
13.538134,21.353584,Echinodermata
13.564949,21.56395,Echinodermata
13.582363,21.649818,Echinodermata
13.0402155,21.551176,Echinodermata
13.17838,21.326572,Echinodermata
13.612812,21.736332,Echinodermata
13.190841,21.667027,Echinodermata
13.23778,21.731596,Echinodermata
14.361381,22.486786,Echinodermata
13.442233,21.803896,Echinodermata
13.604031,21.161009,Echinodermata
13.566362,21.604382,Echinodermata
13.720903,21.81286,Echinodermata
14.656709,24.042292,Echinodermata
14.785323,22.917803,Echinodermata
13.357202,21.749144,Echinodermata
14.122868,20.44756,Echinodermata
13.545517,21.826534,Echinodermata
14.60205,23.645565,Echinodermata
14.537189,23.601719,Echinodermata
14.283636,23.311275,Echinodermata
13.406829,21.213655,Echinodermata
14.144514,20.940966,Echinodermata
13.813789,20.868074,Echinodermata
13.838736,21.89564,Echinodermata
13.680891,21.882416,Echinodermata
14.101694,20.615973,Echinodermata
14.426224,21.602898,Echinodermata
14.567343,23.900965,Echinodermata
12.982332,21.29962,Echinodermata
14.487882,21.564714,Echinodermata
14.39644,21.732683,Echinodermata
14.429866,20.530972,Echinodermata
14.24535,20.462914,Echinodermata
14.769762,24.06174,Echinodermata
